--
-- Gathered from https://www.scoreboard.com/en/mls-2018/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
19.08.2018;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;3 : 1
18.08.2018;07979bc9-ac85-47f7-9d98-d5275039d627;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;1 : 1
18.08.2018;ee42400a-6bdf-4b68-ac30-437f50368b7e;52f41053-5060-4535-9aca-03c0a6a41a82;1 : 2
18.08.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;f021bbaf-ea80-468a-8cd0-b3674327dee5;3 : 0
18.08.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 0
18.08.2018;93eba939-30e6-4702-b854-87051111edbd;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 1
18.08.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 0
18.08.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;9df3a517-2754-438b-bfe3-9d081aefa350;2 : 2
18.08.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;5 : 0
15.08.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;52f41053-5060-4535-9aca-03c0a6a41a82;2 : 0
15.08.2018;34e2f043-ca34-4743-847b-17f2000c8e16;f021bbaf-ea80-468a-8cd0-b3674327dee5;4 : 1
14.08.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 2
12.08.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;028c0edc-b63e-4f72-8e4b-34d1a78e3671;2 : 1
12.08.2018;34e2f043-ca34-4743-847b-17f2000c8e16;fd36043a-ce04-46e7-99ae-63406444834b;3 : 2
12.08.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 3
11.08.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;ce6a772c-9a31-4b10-81b1-f59ec6346b31;1 : 2
11.08.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;b1ab1613-d652-403f-8c7f-8ca7dfd37804;2 : 2
11.08.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;0 : 2
11.08.2018;52f41053-5060-4535-9aca-03c0a6a41a82;93eba939-30e6-4702-b854-87051111edbd;1 : 1
11.08.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
11.08.2018;821e5563-bb3c-4a5e-8d56-79e25efb49cd;9df3a517-2754-438b-bfe3-9d081aefa350;0 : 1
11.08.2018;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;ee42400a-6bdf-4b68-ac30-437f50368b7e;1 : 0
11.08.2018;853ce6e8-987e-4cf0-846a-def18d96913a;2313ec02-1e1d-4fd1-8278-57ed5bc64370;2 : 3
05.08.2018;9df3a517-2754-438b-bfe3-9d081aefa350;f0b354a2-f8db-4b52-a180-f23816cbd6ac;2 : 1
04.08.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;2313ec02-1e1d-4fd1-8278-57ed5bc64370;3 : 0
04.08.2018;52f41053-5060-4535-9aca-03c0a6a41a82;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 1
04.08.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;2 : 1
04.08.2018;ee42400a-6bdf-4b68-ac30-437f50368b7e;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;0 : 1
04.08.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;07979bc9-ac85-47f7-9d98-d5275039d627;1 : 3
04.08.2018;b1ab1613-d652-403f-8c7f-8ca7dfd37804;aa050628-4f65-4997-abef-e3fd6b80d07e;1 : 2
04.08.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;ce6a772c-9a31-4b10-81b1-f59ec6346b31;2 : 2
04.08.2018;93eba939-30e6-4702-b854-87051111edbd;34e2f043-ca34-4743-847b-17f2000c8e16;1 : 1
04.08.2018;fd36043a-ce04-46e7-99ae-63406444834b;853ce6e8-987e-4cf0-846a-def18d96913a;3 : 3
04.08.2018;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 2
29.07.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;fd36043a-ce04-46e7-99ae-63406444834b;4 : 3
29.07.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;431c60bd-c4ae-4253-b554-58af9cf46dd3;3 : 1
28.07.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;ee42400a-6bdf-4b68-ac30-437f50368b7e;2 : 1
28.07.2018;07979bc9-ac85-47f7-9d98-d5275039d627;52f41053-5060-4535-9aca-03c0a6a41a82;0 : 0
28.07.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;b1ab1613-d652-403f-8c7f-8ca7dfd37804;4 : 2
28.07.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;028c0edc-b63e-4f72-8e4b-34d1a78e3671;2 : 3
28.07.2018;34e2f043-ca34-4743-847b-17f2000c8e16;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 1
28.07.2018;93eba939-30e6-4702-b854-87051111edbd;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;1 : 2
28.07.2018;9df3a517-2754-438b-bfe3-9d081aefa350;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;2 : 3
